rad;cm
1.8849000000000002;51.1529998779
1.902352777777778;50.5579986572
1.9198055555555555;50.7449989318
1.9372583333333333;50.7280006408
1.9547111111111113;50.7449989318
1.972163888888889;50.4900016784
1.9896166666666668;50.7449989318
2.007069444444445;50.7449989318
2.0245222222222226;50.0989990234
2.041975;50.7449989318
2.0594277777777776;50.7449989318
2.0768805555555554;50.7280006408
2.0943333333333336;50.5239982604
2.1117861111111114;50.7449989318
2.129238888888889;50.7449989318
2.146691666666667;50.7449989318
2.1641444444444446;50.3709983825
2.1815972222222224;50.7449989318
2.19905;50.7449989318
2.216502777777778;50.7449989318
2.2339555555555557;50.5069999694
2.2514083333333335;50.7449989318
2.268861111111111;50.7449989318
2.286313888888889;50.7449989318
2.3037666666666667;50.7280006408
2.3212194444444445;50.7280006408
2.3386722222222223;50.7449989318
2.356125;50.5069999694
2.373577777777778;50.7280006408
2.3910305555555555;51.2210006713
2.4084833333333338;51.2210006713
2.4259361111111115;50.6940002441
2.443388888888889;51.5779991149
2.4608416666666666;51.2210006713
2.4782944444444444;51.6290016174
2.4957472222222226;50.9659996032
2.5132000000000003;51.6459999084
2.530652777777778;52.0880012512
2.548105555555556;52.1049995422
2.565558333333333;51.8670005798
2.5830111111111114;52.5299987792
2.600463888888889;52.5299987792
2.617916666666667;53.6010017395
2.6353694444444447;55.080001831
2.6528222222222224;94.6729965209
2.670275;93.330001831
2.687727777777778;93.3809967041
2.7051805555555557;92.9560012817
2.7226333333333335;92.7180023193
2.7400861111111112;92.5479965209
2.757538888888889;92.2760009765
2.7749916666666667;92.377998352
2.7924444444444445;91.9700012207
2.8098972222222227;91.4940032958
2.82735;91.9700012207
2.8448027777777782;91.8170013427
2.8622555555555556;92.0210037231
2.8797083333333338;91.5960006713
2.897161111111111;91.1370010375
2.914613888888889;91.5790023803
2.932066666666667;91.6129989624
2.9495194444444444;91.3069992065
2.9669722222222226;91.0179977416
2.984425;91.222000122
3.001877777777778;91.1200027465
3.019330555555556;91.1200027465
3.036783333333333;90.6439971923
3.0542361111111114;91.1029968261
3.0716888888888887;90.8990020751
3.089141666666667;91.1200027465
3.1065944444444447;90.9670028686
3.124047222222223;90.6269989013
3.1415;91.1370010375
